job_name, mean_salary, max_salary, min_salary, first_grad, second_grad, third_grad, fourth_grad, fiveth_grad, first_department, second_department, third_department, fourth_department, fiveth_department, first_school, second_school, third_school, fourth_school, fiveth_school, first_skill, second_skill, third_skill, fourth_skill, fiveth_skill, number_of_entries 
A Sınıfı İş Güvenliği Uzmanı, 4.950, 2.030, 7.870,Maden Mühendisliği, Makine Mühendisliği, Kimya, Jeoloji Mühendisliği, Çevre Mühendisliği, Çevre, Sağlık, Yapı, Hizmet, Güvenlik, Hacettepe Üniversitesi, İstanbul Teknik Üniversitesi (İTÜ), Ege Üniversitesi, İstanbul Üniversitesi (İÜ), Çukurova Üniversitesi, AutoCAD,GSM,ISO 14001,ISO 9001,ISO 9001:2000,304,
AB Proje Asistanı, 4.110, 2.250, 7.380,Uluslararası İlişkiler, İşletme, Siyaset Bilimi ve Kamu Yönetimi, Biyoloji, Sosyoloji, Danışmanlık, Eğitim, Yapı, Topluluklar, Hizmet, Hacettepe Üniversitesi, Anadolu Üniversitesi, Orta Doğu Teknik Üniversitesi (ODTÜ), İhsan Doğramacı Bilkent Üniversitesi, Ege Üniversitesi, Adobe Photoshop,Ansys Workbench,AutoCAD,C#,C++,27,
AB Proje Geliştirme Uzmanı, 5.650, 3.500, 9.440,Uluslararası İlişkiler, Makine-Resim-Konstrüksiyon (MYO), İşletme, Çalışma Ekonomisi ve Endüstri İlişkileri, İktisat, Danışmanlık, Yapı, Eğitim, Maden ve Metal Sanayi, Taşımacılık, Karadeniz Teknik Üniversitesi (KTÜ), Anadolu Üniversitesi, Ankara Üniversitesi, Ege Üniversitesi, Orta Doğu Teknik Üniversitesi (ODTÜ), APQP,AutoCAD,ISO 9001:2000,İhracat işlemleri,Maliyet Analizleri,9,
Acente Temsilcisi, 3.610, 2.020, 6.160,İşletme, Turizm ve Seyahat İşletmeciliği (MYO), Seyahat İşletmeciliği, Turizm ve Otel İşletmeciliği (MYO), Seyahat İşletmeciliği ve Turizm Rehberliği, Turizm, Sigortacılık, Taşımacılık, Hizmet, Finans - Ekonomi, Anadolu Üniversitesi, Muğla Üniversitesi, Çanakkale 18 Mart Üniversitesi, Adnan Menderes Üniversitesi, Balıkesir Üniversitesi, Maliyet Muhasebesi,Satış Yönetimi,-, -, -, 29,
Acil Servis Hemşiresi, 2.700, 2.020, 3.430,İlk ve Acil (Paramedik), Hemşirelik, Hemşirelik ve Sağlık Hizmetleri, Hemşirelik (MYO), Acil Yardım Teknikerliği (MYO), Sağlık, Hizmet, Sigortacılık, Bilişim, Eğitim, Anadolu Üniversitesi, Üsküdar Üniversitesi , İstanbul Medipol Üniversitesi , Marmara Üniversitesi, Sakarya Üniversitesi, İşçi Sağlığı ve İş Güvenliği,Kan Alma,-, -, -, 96,
Acil Tıp Teknisyeni, 2.570, 2.020, 3.170,İlk ve Acil (Paramedik), Acil Yardım Teknikerliği (MYO), Acil Yardım ve Afet Yönetimi, Sağlık Kurumları İşletmeciliği, İş Sağlığı ve Güvenliği (MYO), Sağlık, Hizmet, Sigortacılık, Çevre, Yapı, Anadolu Üniversitesi, Atatürk Üniversitesi, Üsküdar Üniversitesi , İstanbul Medipol Üniversitesi , Kocaeli Üniversitesi, İşçi Sağlığı ve İş Güvenliği,-, -, -, -, 116,
Acil Tıp Uzmanı, 12.300, 8.000, 18.040,Tıp, Acil Yardım ve Afet Yönetimi, Sağlık Kurumları İşletmeciliği, Takı Tasarımı, Adalet (MYO), Sağlık, Hizmet, Çevre, Sigortacılık, Bilişim, Ondokuz Mayıs Üniversitesi, Uludağ Üniversitesi, İstanbul Üniversitesi (İÜ), Gülhane Askeri Tıp Akademisi, Ege Üniversitesi, SPSS,-, -, -, -, 18,
Adli Tıp Uzmanı, 10.500, 4.500, 22.980,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 3,
Aerodinamik Mühendisi, 6.400, 3.350, 9.460,Makine Mühendisliği, Uçak Mühendisliği, Uzay Mühendisliği, Havacılık ve Uzay Mühendisliği, Gemi İnşaatı ve Gemi Makineleri Mühendisliği, Üretim / Endüstriyel Ürünler, Havacılık, Hizmet, Enerji, Otomotiv, İstanbul Teknik Üniversitesi (İTÜ), Orta Doğu Teknik Üniversitesi (ODTÜ), Manisa Celal Bayar Üniversitesi, TOBB Ekonomi ve Tek. Üniversitesi, Yıldız Teknik Üniversitesi (YTÜ), ABAQUS,Ansys Fluent,Ansys Workbench,AutoCAD,CATIA,23,
Ağ Geliştirme Müdürü, 7.530, 3.000, 12.680,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 8,
Ağ Kurulum Mühendisi, 4.580, 2.370, 6.940,Bilgisayar Mühendisliği, Elektronik ve Haberleşme Müh., Elektrik/Elektronik Mühendisliği, Bilgisayar Sistem ve Ağları, İşletme, Bilişim, Telekomünikasyon, Hizmet, Gıda, Turizm, Süleyman Demirel Üniversitesi, Yıldız Teknik Üniversitesi (YTÜ), Anadolu Üniversitesi, Çukurova Üniversitesi, Ankara Üniversitesi, C#,C++,Cisco Routers,Delphi,Görüntü İşlemleme,15,
Ağ Mimarı, -, -, -, Mimarlık, Elektrik/Elektronik Mühendisliği, Elektronik Mühendisliği, Elektronik ve Haberleşme Müh., İnşaat Teknolojisi, Yapı, Telekomünikasyon, Bilişim, Hizmet, Kimya, İstanbul Teknik Üniversitesi (İTÜ), Sakarya Üniversitesi, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Maltepe Üniversitesi, 3D Max,Adobe Photoshop,AutoCAD,Bilanço analizi,Bilgisayar Destekli Tasarım Araçları,-,
Ağ Sistemleri Destek Mühendisi, 4.220, 2.500, 6.400,Elektronik ve Haberleşme Müh., Elektrik/Elektronik Mühendisliği, Bilgisayar Mühendisliği, Elektronik Haberleşme (MYO), Bilişim Sistemleri Mühendisliği, Bilişim, Telekomünikasyon, Hizmet, Elektrik & Elektronik, Finans - Ekonomi, Süleyman Demirel Üniversitesi, Kocaeli Üniversitesi, Namık Kemal Üniversitesi, İstanbul Üniversitesi (İÜ), Yıldız Teknik Üniversitesi (YTÜ), C#,C++,Cisco Routers,DHCP,IP,9,
Ağ ve Siber Güvenlik Uzmanı, 5.770, 2.500, 9.100,Bilgisayar Mühendisliği, Elektrik/Elektronik Mühendisliği, Elektronik ve Haberleşme Müh., Bilgisayar Teknolojisi ve Programlama (MYO), İşletme, Bilişim, Güvenlik, Telekomünikasyon, Hizmet, Finans - Ekonomi, Orta Doğu Teknik Üniversitesi (ODTÜ), Anadolu Üniversitesi, Süleyman Demirel Üniversitesi, Kocaeli Üniversitesi, Sakarya Üniversitesi, C,C#,C++,Cisco Routers,DHCP,59,
Ağ Yöneticisi, 5.750, 2.500, 9.050,İşletme, İktisat, Kamu Yönetimi, Elektrik/Elektronik Mühendisliği, Bilgisayar Mühendisliği, Bilişim, Yapı, Eğitim, Hizmet, Gıda, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Erciyes Üniversitesi, Uludağ Üniversitesi, İstanbul Teknik Üniversitesi (İTÜ), Cisco Routers,İnsan Kaynakları Yönetimi,LAN (Local Area Network),Linux,Sosyal Medya Yönetimi,13,
